12,16,11,9,12,12,17,2,16,18,26,24,54,59,62,71,50,63,67,94
33,48,5,21,0,21,12,24,18,30,1,16,51,80,54,80,62,53,50,88
14,60,9,10,12,8,30,9,39,20,20,3,56,76,56,81,77,56,62,88
33,51,8,0,1,19,19,9,17,13,29,18,56,61,70,86,57,85,64,88
41,22,6,2,13,13,16,36,0,9,29,27,25,45,34,61,65,53,87,56
25,34,17,1,16,0,13,37,4,35,41,14,29,9,21,48,75,81,86,74
34,50,22,20,4,12,10,30,12,46,47,36,25,23,15,25,48,69,65,95
7,24,34,7,11,22,13,14,25,5,8,18,24,14,13,25,56,40,73,94
46,20,17,8,8,0,24,17,27,17,19,16,18,12,3,13,15,28,51,92
26,36,37,41,44,30,22,21,62,56,56,53,27,11,17,27,17,6,15,18
49,2,28,81,86,78,98,58,71,59,66,36,14,43,50,37,23,11,25,42
17,35,16,37,52,64,63,94,100,90,85,40,18,37,15,38,50,23,18,22
40,5,34,79,59,87,89,56,75,54,2,16,42,13,0,49,12,35,12,22
16,28,33,46,63,64,85,74,76,92,12,15,28,21,44,47,29,27,17,14
26,35,36,31,85,53,95,86,74,82,66,29,35,9,9,9,44,16,15,92
2,34,21,86,95,63,68,90,86,51,98,25,17,15,37,32,32,46,55,50
2,26,28,90,67,71,77,87,76,65,7,2,38,24,5,22,55,34,50,57
29,45,28,74,83,98,59,100,62,65,72,36,35,12,15,36,11,59,70,83
20,48,37,61,69,90,65,58,44,81,67,81,9,46,23,19,6,78,67,85
10,0,3,67,63,92,80,76,20,64,71,22,39,40,35,14,21,77,75,95
